model,look_back,units,batch_size,epochs,dropout,optimizer,layers,MAE
GRU,60,64,32,30,0.25,adam,3,0.348
GRU,60,64,32,30,0.25,rmsprop,1,0.3774
GRU,60,64,32,30,0.25,rmsprop,2,0.3445
GRU,60,64,32,30,0.25,rmsprop,3,0.3731
GRU,60,64,32,30,0.5,adam,1,0.3442
GRU,60,64,32,30,0.5,adam,2,0.3515
GRU,60,64,32,30,0.5,adam,3,0.345
GRU,60,64,32,30,0.5,rmsprop,1,0.378
GRU,60,64,32,30,0.5,rmsprop,2,0.3611
GRU,60,64,32,30,0.5,rmsprop,3,0.3742
GRU,60,64,32,50,0.0,adam,1,0.3334
GRU,60,64,32,50,0.0,adam,2,0.3382
GRU,60,64,32,50,0.0,adam,3,0.3368
GRU,60,64,32,50,0.0,rmsprop,1,0.3704
GRU,60,64,32,50,0.0,rmsprop,2,0.3395
GRU,60,64,32,50,0.0,rmsprop,3,0.3712
GRU,60,64,32,50,0.25,adam,1,0.3481
GRU,60,64,32,50,0.25,adam,2,0.3332
GRU,60,64,32,50,0.25,adam,3,0.3367
GRU,60,64,32,50,0.25,rmsprop,1,0.3781
GRU,60,64,32,50,0.25,rmsprop,2,0.3823
GRU,60,64,32,50,0.25,rmsprop,3,0.3803
GRU,60,64,32,50,0.5,adam,1,0.3597
GRU,60,64,32,50,0.5,adam,2,0.341
GRU,60,64,32,50,0.5,adam,3,0.3614
GRU,60,64,32,50,0.5,rmsprop,1,0.3751
GRU,60,64,32,50,0.5,rmsprop,2,0.3627
GRU,60,64,32,50,0.5,rmsprop,3,0.3319
GRU,60,64,64,10,0.0,adam,1,0.3551
GRU,60,64,64,10,0.0,adam,2,0.3416
GRU,60,64,64,10,0.0,adam,3,0.3424
GRU,60,64,64,10,0.0,rmsprop,1,0.379
GRU,60,64,64,10,0.0,rmsprop,2,0.3948
GRU,60,64,64,10,0.0,rmsprop,3,0.3833
GRU,60,64,64,10,0.25,adam,1,0.3707
GRU,60,64,64,10,0.25,adam,2,0.3404
GRU,60,64,64,10,0.25,adam,3,0.3658
GRU,60,64,64,10,0.25,rmsprop,1,0.4216
GRU,60,64,64,10,0.25,rmsprop,2,0.3806
GRU,60,64,64,10,0.25,rmsprop,3,0.3698
GRU,60,64,64,10,0.5,adam,1,0.3548
GRU,60,64,64,10,0.5,adam,2,0.3588
GRU,60,64,64,10,0.5,adam,3,0.3562
GRU,60,64,64,10,0.5,rmsprop,1,0.3834
GRU,60,64,64,10,0.5,rmsprop,2,0.3763
