model,look_back,units,batch_size,epochs,dropout,optimizer,layers,MAE
LSTM,60,32,32,50,0.5,adam,3,0.3408557772636413
LSTM,60,32,32,50,0.5,rmsprop,1,0.3556512892246246
LSTM,60,32,32,50,0.5,rmsprop,2,0.3425412774085998
LSTM,60,32,32,50,0.5,rmsprop,3,0.3442368507385254
LSTM,60,32,64,10,0.0,adam,1,0.342188686132431
LSTM,60,32,64,10,0.0,adam,2,0.3845530450344085
LSTM,60,32,64,10,0.0,adam,3,0.346489280462265
LSTM,60,32,64,10,0.0,rmsprop,1,0.3862307667732239
LSTM,60,32,64,10,0.0,rmsprop,2,0.3875476419925689
LSTM,60,32,64,10,0.0,rmsprop,3,0.3531271815299988
LSTM,60,32,64,10,0.25,adam,1,0.3628596663475036
LSTM,60,32,64,10,0.25,adam,2,0.3401766121387481
LSTM,60,32,64,10,0.25,adam,3,0.3591118454933166
LSTM,60,32,64,10,0.25,rmsprop,1,0.375592291355133
LSTM,60,32,64,10,0.25,rmsprop,2,0.3763680160045624
LSTM,60,32,64,10,0.25,rmsprop,3,0.3809346854686737
LSTM,60,32,64,10,0.5,adam,1,0.3572574257850647
LSTM,60,32,64,10,0.5,adam,2,0.3696726858615875
LSTM,60,32,64,10,0.5,adam,3,0.3627350330352783
LSTM,60,32,64,10,0.5,rmsprop,1,0.4031794965267181
LSTM,60,32,64,10,0.5,rmsprop,2,0.3841991126537323
LSTM,60,32,64,10,0.5,rmsprop,3,0.3791927099227905
LSTM,60,32,64,30,0.0,adam,1,0.3429299592971802
LSTM,60,32,64,30,0.0,adam,2,0.3759855926036834
LSTM,60,32,64,30,0.0,adam,3,0.3422859311103821
LSTM,60,32,64,30,0.0,rmsprop,1,0.3749474585056305
LSTM,60,32,64,30,0.0,rmsprop,2,0.3610321879386902
LSTM,60,32,64,30,0.0,rmsprop,3,0.3461340367794037
LSTM,60,32,64,30,0.25,adam,1,0.3390489220619201
LSTM,60,32,64,30,0.25,adam,2,0.3509584069252014
LSTM,60,32,64,30,0.25,adam,3,0.3382430672645569
LSTM,60,32,64,30,0.25,rmsprop,1,0.3765038549900055
LSTM,60,32,64,30,0.25,rmsprop,2,0.3754111528396606
LSTM,60,32,64,30,0.25,rmsprop,3,0.3525502979755401
LSTM,60,32,64,30,0.5,adam,1,0.3509373962879181
LSTM,60,32,64,30,0.5,adam,2,0.3460855185985565
LSTM,60,32,64,30,0.5,adam,3,0.3373429477214813
LSTM,60,32,64,30,0.5,rmsprop,1,0.378345638513565
LSTM,60,32,64,30,0.5,rmsprop,2,0.37827068567276
LSTM,60,32,64,30,0.5,rmsprop,3,0.3474719524383545
LSTM,60,32,64,50,0.0,adam,1,0.3308053910732269
LSTM,60,32,64,50,0.0,adam,2,0.3296272456645965
LSTM,60,32,64,50,0.0,adam,3,0.3398562669754028
LSTM,60,32,64,50,0.0,rmsprop,1,0.3726144731044769
LSTM,60,32,64,50,0.0,rmsprop,2,0.3855217099189758
LSTM,60,32,64,50,0.0,rmsprop,3,0.3397519290447235
LSTM,60,32,64,50,0.25,adam,1,0.339294821023941
LSTM,60,32,64,50,0.25,adam,2,0.3502222299575805
LSTM,60,32,64,50,0.25,adam,3,0.3352709710597992
LSTM,60,32,64,50,0.25,rmsprop,1,0.3709839880466461
LSTM,60,32,64,50,0.25,rmsprop,2,0.373797208070755
LSTM,60,32,64,50,0.25,rmsprop,3,0.3409809172153473
