05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,구분,모바일ID,정류소ID,정류소명,조회일자,합계,행정구역
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,하차,03012,7011056600,NH농협혁신도시지점앞,2019-01-01,2,대구광역시 동구 안심3.4동
0,0,1,3,4,9,3,8,7,4,5,8,5,2,3,2,5,3,0,승차,05218,7021005600,SD아이프라임강북아파트,2019-01-01,72,대구광역시 북구 읍내동
0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,하차,05218,7021005600,SD아이프라임강북아파트,2019-01-01,5,대구광역시 북구 읍내동
1,8,7,3,5,8,10,6,13,12,4,15,5,17,6,5,5,11,0,승차,09166,7061012500,SK리더스뷰건너,2019-01-01,141,대구광역시 수성구 황금2동
0,1,2,1,1,2,1,2,1,0,1,0,1,1,1,0,0,1,0,하차,09166,7061012500,SK리더스뷰건너,2019-01-01,16,대구광역시 수성구 황금2동
0,2,2,1,4,2,1,4,3,8,4,3,6,9,5,8,7,7,2,승차,00031,7061012600,SK리더스뷰앞,2019-01-01,78,대구광역시 수성구 두산동
0,1,1,2,1,3,2,0,1,0,3,4,5,2,0,2,2,3,0,하차,00031,7061012600,SK리더스뷰앞,2019-01-01,32,대구광역시 수성구 두산동
0,1,0,0,0,0,1,4,2,2,1,0,2,0,1,0,0,0,0,승차,01182,7041001500,STX메탈건너,2019-01-01,14,대구광역시 달서구 신당동
0,1,2,3,2,2,2,0,4,0,7,2,4,4,2,4,6,2,0,하차,01182,7041001500,STX메탈건너,2019-01-01,47,대구광역시 달서구 신당동
0,1,0,0,0,1,0,1,0,0,2,0,1,0,1,2,3,2,0,하차,01181,7041001400,STX메탈앞,2019-01-01,14,대구광역시 달서구 신당동
4,1,3,12,8,8,10,15,26,16,20,25,23,14,10,9,13,9,0,승차,02250,7061012900,TBC건너,2019-01-01,226,대구광역시 수성구 지산1동
1,0,0,0,0,1,0,1,1,0,0,3,2,0,1,1,0,0,0,하차,02250,7061012900,TBC건너,2019-01-01,11,대구광역시 수성구 지산1동
0,1,1,0,2,1,0,1,2,2,1,4,9,2,7,4,4,4,3,승차,02249,7061012800,TBC앞,2019-01-01,48,대구광역시 수성구 두산동
0,0,1,1,0,1,4,0,3,5,0,7,3,0,2,0,5,0,3,하차,02249,7061012800,TBC앞,2019-01-01,35,대구광역시 수성구 두산동
