LOCPLC,NO,INDUTY,BSSH_NM,APNTDT
대구광역시 북구 이곡길 35-41 (서변동),242,일반음식점,이가네더덕밥 대구팔공산점,2020-05-22
"대구광역시 북구 이곡길 35-6, 1층 (서변동)",243,일반음식점,시골향참나무장작구이,2021-04-02
대구광역시 북구 이곡길 59 (서변동),244,일반음식점,토속정,2021-07-02
"대구광역시 북구 중앙대로 517, 1층 (칠성동2가)",245,일반음식점,현풍닭칼국수대구점,2021-09-14
"대구광역시 북구 중앙대로 540, 301동 127호 (칠성동2가, 오페라코오롱하늘채)",246,일반음식점,김민성아임넙띠기돈까스침산점,2021-09-14
"대구광역시 북구 중앙대로 540, 301동 1층 114호 (칠성동2가, 오페라 코오롱하늘채)",247,일반음식점,스시가이,2021-09-14
"대구광역시 북구 중앙대로105길 22, 201동 1층 103,104호 (칠성동2가, 칠성우방맨션)",248,일반음식점,장수가마솥국밥,2021-09-14
"대구광역시 북구 칠곡중앙대로 181, 1,2층 108호 (태전동)",249,일반음식점,오무하무 칠곡점,2023-06-29
"대구광역시 북구 칠곡중앙대로 185, 1층 (태전동)",250,일반음식점,명천명태본가,2023-10-31
대구광역시 북구 칠곡중앙대로 306 (태전동),251,일반음식점,복어잡는사람들,2020-12-30
대구광역시 북구 칠곡중앙대로 307 (태전동),252,일반음식점,해장님감자탕,2021-07-01
"대구광역시 북구 칠곡중앙대로 329 (태전동,외 2필지)",253,일반음식점,팔공산맥,2020-05-22
대구광역시 북구 칠곡중앙대로 342,254,휴게음식점,백호김밥,2022-10-25
"대구광역시 북구 칠곡중앙대로 343, 1층 (태전동)",255,일반음식점,국민돼지국밥(보건대점),2022-11-08
"대구광역시 북구 칠곡중앙대로 371, 1,2층 (태전동)",256,일반음식점,갈비명가황우리,2021-10-21
대구광역시 북구 칠곡중앙대로 461 (관음동),257,일반음식점,죽이야기,2020-12-21
대구광역시 북구 칠곡중앙대로 504-12 (읍내동),258,일반음식점,해바라기식당,2021-11-03
대구광역시 북구 칠곡중앙대로 618 (읍내동),259,일반음식점,천연애,2020-05-22
"대구광역시 북구 칠곡중앙대로46길 25, 103동 107,108호 (태전동,전원맨션상가)",260,일반음식점,회뜨락,2022-11-02
"대구광역시 북구 칠곡중앙대로46길 25, 상가동 106호 (태전동,현대전원APT)",261,일반음식점,꾸메바베큐치킨,2022-11-02
대구광역시 북구 칠곡중앙대로46길 29 (태전동),262,일반음식점,양지곱창전골,2022-11-02
대구광역시 북구 칠곡중앙대로46길 32 (태전동),263,일반음식점,대구반야월막창,2020-06-22
대구광역시 북구 칠곡중앙대로65길 21 (태전동),264,일반음식점,상황삼계탕.백숙,2023-11-27
"대구광역시 북구 칠곡중앙대로65길 21, A동 (태전동)",265,일반음식점,이동근선산곱창,2023-03-16
대구광역시 북구 칠곡중앙대로65길 9 (태전동),266,일반음식점,착한낙지,2020-05-22
"대구광역시 북구 칠곡중앙대로67길 14, 1층 (태전동)",267,일반음식점,면사무소,2022-11-08
대구광역시 북구 칠곡중앙대로69길 15-7 (태전동),268,일반음식점,소문난떡볶이,2022-11-11
"대구광역시 북구 칠곡중앙대로69길 23-2, 1층 (태전동)",269,일반음식점,도쿄라멘3900,2022-11-08
